Date,Close,Open,High,Low,PE
1996/3/18,652.650024,641.429993,652.650024,641.429993,25.63
1996/3/19,651.690002,652.650024,656.179993,649.799988,25.63
1996/3/20,649.97998,651.690002,653.130005,645.570007,25.63
1996/3/21,649.190002,649.97998,651.539978,648.099976,25.63
1996/3/22,650.619995,649.190002,652.080017,649.190002,25.63
1996/3/25,650.039978,650.619995,655.5,648.820007,25.63
1996/3/26,652.969971,650.039978,654.309998,648.150024,25.63
1996/3/27,648.909973,652.969971,653.940002,647.599976,25.63
1996/3/28,648.940002,648.909973,649.580017,646.359985,25.63
1996/3/29,645.5,648.940002,650.960022,644.890015,25.63
1996/4/1,653.72998,645.5,653.869995,645.5,25.42
1996/4/2,655.26001,653.72998,655.27002,652.809998,25.42
1996/4/3,655.880005,655.26001,655.890015,651.809998,25.42
1996/4/4,655.859985,655.880005,656.679993,654.890015,25.42
1996/4/8,644.23999,655.859985,655.859985,638.039978,25.42
1996/4/9,642.190002,644.23999,646.330017,640.840027,25.42
1996/4/10,633.5,642.190002,642.780029,631.76001,25.42
1996/4/11,631.179993,633.5,635.26001,624.140015,25.42
1996/4/12,636.710022,631.179993,637.140015,631.179993,25.42
1996/4/15,642.48999,636.710022,642.48999,636.710022,25.42
1996/4/16,645,642.48999,645.570007,642.150024,25.42
1996/4/17,641.609985,645,645,638.710022,25.42
1996/4/18,643.609985,641.609985,644.659973,640.76001,25.42
1996/4/19,645.070007,643.609985,647.320007,643.609985,25.42
1996/4/22,647.890015,645.070007,650.909973,645.070007,25.42
1996/4/23,651.580017,647.890015,651.590027,647.700012,25.42
1996/4/24,650.169983,651.580017,653.369995,648.25,25.42
1996/4/25,652.869995,650.169983,654.179993,647.059998,25.42
1996/4/26,653.460022,652.869995,656.429993,651.960022,25.42
1996/4/29,654.159973,653.460022,654.710022,651.599976,25.42
1996/4/30,654.169983,654.159973,654.590027,651.049988,25.42
1996/5/1,654.580017,654.169983,656.440002,652.26001,25.81
1996/5/2,643.380005,654.580017,654.580017,642.130005,25.81
1996/5/3,641.630005,643.380005,648.450012,640.22998,25.81
1996/5/6,640.809998,641.630005,644.640015,636.190002,25.81
1996/5/7,638.26001,640.809998,641.400024,636.960022,25.81
1996/5/8,644.77002,638.26001,644.789978,630.070007,25.81
1996/5/9,645.440002,644.77002,647.950012,643.179993,25.81
1996/5/10,652.090027,645.440002,653,645.440002,25.81
1996/5/13,661.51001,652.090027,662.159973,652.090027,25.81
1996/5/14,665.599976,661.51001,666.960022,661.51001,25.81
1996/5/15,665.419983,665.599976,669.820007,664.460022,25.81
1996/5/16,664.849976,665.419983,667.109985,662.789978,25.81
1996/5/17,668.909973,664.849976,669.840027,664.849976,25.81
1996/5/20,673.150024,668.909973,673.659973,667.640015,25.81
1996/5/21,672.76001,673.150024,675.559998,672.26001,25.81
1996/5/22,678.419983,672.76001,678.419983,671.22998,25.81
1996/5/23,676,678.419983,681.099976,673.450012,25.81
1996/5/24,678.51001,676,679.719971,676,25.81
1996/5/28,672.22998,678.51001,679.97998,671.52002,25.81
1996/5/29,667.929993,672.22998,673.72998,666.090027,25.81
1996/5/30,671.700012,667.929993,673.51001,664.559998,25.81
1996/5/31,669.119995,671.700012,673.460022,667,25.81
1996/6/3,667.679993,669.119995,669.119995,665.190002,25.96
1996/6/4,672.559998,667.679993,672.599976,667.679993,25.96
1996/6/5,678.440002,672.559998,678.450012,672.090027,25.96
1996/6/6,673.030029,678.440002,680.320007,673.02002,25.96
1996/6/7,673.309998,673.030029,673.309998,662.47998,25.96
1996/6/10,672.159973,673.309998,673.609985,670.150024,25.96
1996/6/11,670.969971,672.159973,676.719971,669.940002,25.96
1996/6/12,669.039978,670.969971,673.669983,668.77002,25.96
1996/6/13,667.919983,669.039978,670.539978,665.48999,25.96
1996/6/14,665.849976,667.919983,668.400024,664.349976,25.96
1996/6/17,665.159973,665.849976,668.27002,664.090027,25.96
1996/6/18,662.059998,665.159973,666.359985,661.340027,25.96
1996/6/19,661.960022,662.059998,665.619995,661.210022,25.96
1996/6/20,662.099976,661.960022,664.960022,658.75,25.96
1996/6/21,666.840027,662.099976,666.840027,662.099976,25.96
1996/6/24,668.849976,666.840027,671.070007,666.840027,25.96
1996/6/25,668.47998,668.849976,670.650024,667.289978,25.96
1996/6/26,664.390015,668.47998,668.48999,663.669983,25.96
1996/6/27,668.549988,664.390015,668.900024,661.559998,25.96
1996/6/28,670.630005,668.549988,672.679993,668.549988,25.96
1996/7/1,675.880005,670.630005,675.880005,670.630005,24.86
1996/7/2,673.609985,675.880005,675.880005,672.549988,24.86
1996/7/3,672.400024,673.609985,673.640015,670.210022,24.86
1996/7/5,657.440002,672.400024,672.400024,657.409973,24.86
1996/7/8,652.539978,657.440002,657.650024,651.130005,24.86
1996/7/9,654.75,652.539978,656.599976,652.539978,24.86
1996/7/10,656.059998,654.75,656.27002,648.390015,24.86
1996/7/11,645.669983,656.059998,656.059998,639.52002,24.86
1996/7/12,646.190002,645.669983,647.640015,640.210022,24.86
1996/7/15,629.799988,646.190002,646.190002,629.690002,24.86
1996/7/16,628.369995,629.799988,631.98999,605.880005,24.86
1996/7/17,634.070007,628.369995,636.609985,628.369995,24.86
1996/7/18,643.559998,634.070007,644.440002,633.289978,24.86
1996/7/19,638.72998,643.51001,643.51001,635.5,24.86
1996/7/22,633.77002,638.72998,638.72998,630.380005,24.86
1996/7/23,626.869995,633.789978,637.700012,625.650024,24.86
1996/7/24,626.650024,626.190002,629.099976,616.429993,24.86
1996/7/25,631.169983,626.650024,633.570007,626.650024,24.86
1996/7/26,635.900024,631.169983,636.22998,631.169983,24.86
1996/7/29,630.909973,635.900024,635.900024,630.900024,24.86
1996/7/30,635.26001,630.909973,635.26001,629.219971,24.86
1996/7/31,639.950012,635.26001,640.539978,633.73999,24.86
1996/8/1,650.02002,639.950012,650.659973,639.48999,25.41
1996/8/2,662.48999,650.02002,662.48999,650.02002,25.41
1996/8/5,660.22998,662.48999,663.640015,659.030029,25.41
1996/8/6,662.380005,660.22998,662.75,656.830017,25.41
1996/8/7,664.159973,662.380005,664.609985,660,25.41
1996/8/8,662.590027,664.159973,664.169983,661.280029,25.41
1996/8/9,662.099976,662.590027,665.369995,660.309998,25.41
1996/8/12,665.77002,662.099976,665.77002,658.950012,25.41
1996/8/13,660.200012,665.77002,665.77002,659.130005,25.41
1996/8/14,662.049988,660.200012,662.419983,658.469971,25.41
1996/8/15,662.280029,662.049988,664.179993,660.640015,25.41
1996/8/16,665.210022,662.280029,666.340027,662.26001,25.41
1996/8/19,666.580017,665.210022,667.119995,665,25.41
1996/8/20,665.690002,666.580017,666.98999,665.150024,25.41
1996/8/21,665.070007,665.690002,665.690002,662.159973,25.41
1996/8/22,670.679993,665.070007,670.679993,664.880005,25.41
1996/8/23,667.030029,670.679993,670.679993,664.929993,25.41
1996/8/26,663.880005,667.030029,667.030029,662.359985,25.41
1996/8/27,666.400024,663.880005,666.400024,663.5,25.41
1996/8/28,664.809998,666.400024,667.409973,664.390015,25.41
1996/8/29,657.400024,664.809998,664.809998,655.349976,25.41
1996/8/30,651.98999,657.400024,657.710022,650.52002,25.41
1996/9/3,654.719971,651.98999,655.130005,643.969971,25.68
1996/9/4,655.609985,654.719971,655.820007,652.929993,25.68
1996/9/5,649.440002,655.609985,655.609985,648.890015,25.68
1996/9/6,655.679993,649.440002,658.210022,649.440002,25.68
